,A:総入園者数,B:有料入園者数,C:無料入園者数,D:Cのうち幼児,E:Cのうち小学生,F:Cのうち中学生,G:Cのうち障がい者,H:Cのうち市内６５歳以上,I:CのうちD～H以外,month,wod_x,さっぽろ（南北線）,さっぽろ（東豊線）,すすきの,大通（南北線）,大通（東西線）,大通（東豊線）,wod_y,気温(℃),風向(度:0～359),風速(m/s),降水量(mm),積雪深(cm),J1,J2,J3,J4,J5
2019-04-27,2227.0,1387.0,840.0,351.0,231.0,49.0,54.0,62.0,93.0,4,5,53165,29059,20499,43364,16373,12259,5,4.977083333333334,268.34027777777777,0.48055555555555557,1.0,0.0,2016.857142857143,1392.5064935064936,1743.4545454545455,1520.6363636363637,837.8961038961039
2019-04-28,15600.0,8967.0,6633.0,3266.0,1889.0,268.0,257.0,715.0,238.0,4,6,49339,25450,19243,39921,15141,11208,6,9.47013888888889,278.52777777777777,0.46388888888888885,0.0,0.0,1552.2727272727273,1245.0389610389611,1437.7922077922078,1499.5064935064936,835.7272727272727
2019-04-29,18376.0,10407.0,7969.0,3849.0,2170.0,305.0,336.0,1014.0,295.0,4,0,48409,25015,18710,38609,14916,10956,0,13.086805555555555,253.15277777777777,0.40902777777777777,0.0,0.0,1368.6753246753246,1044.1168831168832,1293.6623376623377,1420.142857142857,909.8441558441558
2019-04-30,17310.0,9774.0,7536.0,3728.0,1994.0,385.0,286.0,905.0,238.0,4,1,49991,21864,18961,37814,14873,10037,1,13.127083333333333,170.88888888888889,0.9500000000000001,0.0,0.0,1439.3506493506493,1125.3636363636363,1423.8051948051948,1450.6493506493507,864.6103896103896
2019-05-01,10229.0,6246.0,3983.0,1675.0,1306.0,206.0,166.0,469.0,161.0,5,2,48660,21586,19233,36698,14521,9700,2,12.416666666666666,228.96527777777777,0.5083333333333333,0.0,0.0,1529.5974025974026,1180.1038961038962,1397.857142857143,1437.6753246753246,891.8181818181819
2019-05-02,9455.0,5734.0,3721.0,1564.0,1231.0,209.0,145.0,456.0,116.0,5,3,49438,29386,19448,38422,14094,11631,3,10.534722222222221,291.2916666666667,0.7138888888888889,2.0,0.0,1764.5974025974026,1294.6103896103896,1535.8181818181818,1525.922077922078,885.2077922077922
2019-05-03,14736.0,9222.0,5514.0,2558.0,1621.0,236.0,232.0,655.0,212.0,5,4,49282,23454,19317,37977,15336,10908,4,14.221527777777778,250.67361111111111,0.5680555555555555,0.0,0.0,1438.1298701298701,1081.8831168831168,1414.6883116883116,1298.2077922077922,831.3896103896104
2019-05-04,16658.0,9948.0,6710.0,2899.0,2192.0,298.0,311.0,741.0,269.0,5,5,48209,24429,19568,38444,15161,10967,5,15.49513888888889,281.3958333333333,0.47361111111111115,0.0,0.0,1265.974025974026,1184.5844155844156,1443.4415584415585,1300.2207792207791,760.7142857142857
2019-05-05,14075.0,8449.0,5626.0,2321.0,1944.0,330.0,284.0,510.0,237.0,5,6,44878,21054,17201,35858,13956,9392,6,17.25625,250.44444444444446,0.5,0.0,0.0,1230.4545454545455,1086.935064935065,1235.5454545454545,1348.1298701298701,794.5844155844156
2019-05-06,6812.0,4218.0,2594.0,1163.0,758.0,191.0,123.0,244.0,115.0,5,0,37072,18891,12555,30336,11495,8534,0,16.955555555555556,176.15277777777777,0.8055555555555556,8.0,0.0,1239.8701298701299,1076.7272727272727,1324.7922077922078,1444.844155844156,896.7402597402597
2019-05-07,2252.0,1413.0,839.0,293.0,36.0,40.0,90.0,301.0,79.0,5,1,53243,31513,13002,41133,21409,14813,1,11.014583333333333,306.5763888888889,1.020138888888889,13.0,0.0,1554.844155844156,1051.1948051948052,1487.4675324675325,1410.7272727272727,923.5064935064935
2019-05-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,54874,33223,14166,42570,21531,15695,2,9.742361111111112,232.02083333333334,0.6597222222222222,3.0,0.0,1712.8311688311687,1214.051948051948,1413.142857142857,1528.4415584415585,1046.4025974025974
2019-05-09,3488.0,2017.0,1471.0,602.0,50.0,159.0,107.0,370.0,183.0,5,3,55802,33243,14181,42634,21543,15582,3,13.881944444444445,247.125,0.8111111111111111,0.0,0.0,1561.3636363636363,1170.4545454545455,1532.844155844156,1526.4415584415585,757.0
2019-05-10,1935.0,1071.0,864.0,405.0,20.0,97.0,65.0,132.0,145.0,5,4,59547,34896,17426,46601,22397,16116,4,9.091666666666667,316.6388888888889,0.9659722222222222,0.0,0.0,1911.4025974025974,1240.6753246753246,1581.1948051948052,1558.5194805194806,1006.2727272727273
2019-05-11,5454.0,3303.0,2151.0,1188.0,420.0,82.0,111.0,168.0,182.0,5,5,51535,29406,19019,42662,16939,12683,5,9.240972222222222,335.4861111111111,1.286111111111111,0.0,0.0,1833.6103896103896,1162.025974025974,1532.2467532467533,1462.8311688311687,875.8831168831168
2019-05-12,7099.0,4333.0,2766.0,1542.0,682.0,122.0,113.0,186.0,121.0,5,6,40397,22552,14689,33815,13197,9984,6,9.796527777777778,302.86805555555554,1.1118055555555555,0.0,0.0,1671.3376623376623,1089.974025974026,1388.2727272727273,1406.077922077922,807.8181818181819
2019-05-13,2978.0,1847.0,1131.0,550.0,85.0,46.0,50.0,336.0,64.0,5,0,54556,31380,13919,40787,20527,14451,0,12.85625,255.95138888888889,0.6291666666666668,0.0,0.0,1523.064935064935,1113.3636363636363,1482.2727272727273,1371.5454545454545,701.7402597402597
2019-05-14,3556.0,2069.0,1487.0,739.0,29.0,153.0,54.0,393.0,119.0,5,1,54034,31191,14225,41080,20748,14732,1,16.259722222222223,181.82638888888889,0.6805555555555556,0.0,0.0,1341.1298701298701,1046.7662337662337,1251.6883116883116,1519.4935064935064,921.6493506493506
2019-05-15,3177.0,1762.0,1415.0,596.0,83.0,209.0,78.0,239.0,210.0,5,2,55789,31207,15361,44590,22696,15535,2,15.286805555555556,214.29861111111111,0.4756944444444444,0.0,0.0,1362.3116883116884,1069.7792207792209,1279.155844155844,1548.2987012987012,994.3506493506494
